zip,month,home_value_index,median_sale_price,median_list_price,median_price_per_sqft,homes_sold,new_listings,inventory,median_days_on_market,avg_sale_to_list_ratio,pct_sold_above_list,pct_off_market_in_2wks,mortgage_rate_30yr,mortgage_arm_spread,median_household_income,median_owner_home_value,median_gross_rent,owner_occupancy_rate,business_establishments,total_employment,avg_pay_per_employee,tax_returns_filed,adjusted_gross_income,taxable_interest_income,home_value_mom_pct,home_value_yoy_pct,sale_price_mom_pct,sale_price_yoy_pct,inventory_mom_pct,inventory_yoy_pct,home_value_mom_3m_avg,sale_price_mom_3m_avg,inventory_mom_3m_avg,pct_above_list_3m_avg,sale_to_list_3m_avg,off_market_2wk_3m_avg,home_value_mom_12m_avg,sale_price_mom_12m_avg,inventory_mom_12m_avg,home_value_mom_3m_std,sale_price_mom_3m_std,home_value_accel,sale_price_accel,inventory_accel,price_to_income_ratio,rent_to_income_ratio,price_to_rent_ratio,home_value_vs_baseline,sale_price_vs_baseline,inventory_vs_baseline,dom_vs_baseline,home_value_mom_pct_lag3,home_value_mom_pct_lag6,sale_price_mom_pct_lag3,sale_price_mom_pct_lag6,inventory_mom_pct_lag3,inventory_mom_pct_lag6,pct_sold_above_list_lag3,pct_sold_above_list_lag6,avg_sale_to_list_ratio_lag3,avg_sale_to_list_ratio_lag6,home_value_vs_baseline_lag3,home_value_vs_baseline_lag6,sale_price_vs_baseline_lag3,sale_price_vs_baseline_lag6,inventory_vs_baseline_lag3,inventory_vs_baseline_lag6,business_establishments_yoy_pct,total_employment_yoy_pct,median_household_income_yoy_pct,median_gross_rent_yoy_pct,transition_next_12m,transition_direction
27006,2020-04-30,268523.7317844958,262000.0,294075.0,116.223478443,84.0,85.0,103.0,47.0,0.9731372656,0.1547619048,0.3902439024,3.306,-0.006,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0029240203919778,0.0478389103623548,0.0115830115830115,-0.0038022813688213,-0.055045871559633,-0.2076923076923077,0.003135721532432,-0.0061830448516901,0.0071499516453644,0.1351037851333333,0.9692685765,0.4097236798333333,0.0039031582568417,0.0023567400022912,-0.0114286399242174,0.0004836773590154,0.017149688249345,-0.0007674367244096,-0.0085397848539814,0.0185785915695819,3.342050503248358,0.1254558353143241,26.639259105604744,0.0233687581589192,0.0148482892188508,0.0627687016337059,-0.2569169960474308,0.0047300923851594,0.0061142507325686,0.1608695652173912,-0.0541044776119402,0.0947368421052632,-0.1411764705882353,0.1320754717,0.125,0.9571242646,0.9518192195,0.0258277527746835,0.0189884114838383,0.0292322518470928,-0.0186463642815665,-0.0039904229848364,-0.3373676248108926,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2020-05-31,269361.09137755574,292000.0,294537.5,115.559939872,89.0,112.0,112.0,74.5,0.9687986363,0.1460674157,0.4,3.2325,0.07,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0031183820792866,0.0485706019092779,0.1145038167938932,0.1123809523809524,0.0873786407766989,-0.1039999999999999,0.0029454637775116,0.0344817729809808,0.0811479601093922,0.1478954878,0.9695680002333332,0.4200411401666666,0.0039614895095168,0.0120571531254832,-0.0009419583210309,0.0001632562527471,0.0713825964903706,-0.0010160257320051,0.0224246198554975,0.0820899184304232,3.3524722936457585,0.1254558353143241,26.72233049380513,0.0225082342330089,0.1203836930455635,0.1686956521739131,0.1337983512999367,0.0036891553440479,0.0064344433816543,-0.0074906367041198,0.069033530571992,-0.1346153846153845,0.095890410958904,0.1076923077,0.1538461538,0.9679003651,0.9495583293,0.0255256165295181,0.0220360716525103,0.0248146954560102,0.0386789740969049,-0.1081750619322874,-0.2563903950426026,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2020-06-30,270309.2147915784,304900.0,289900.0,125.980392157,91.0,103.0,108.0,56.0,0.9762042001,0.1538461538,0.3669724771,3.1625,0.07,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0035198974327503,0.0505252744446989,0.0441780821917807,0.2099206349206348,-0.0357142857142857,-0.0769230769230768,0.0031874333013382,0.0567549701895618,-0.0011271721657399,0.1515584914333333,0.9727133673333334,0.3857387931666667,0.0041170904606137,0.0190719933081316,0.0014151845361118,0.000303880593951,0.0526004431549356,-0.0009296571592755,0.0376829768814301,-0.0025423567018518,3.3642726522655284,0.1254558353143241,26.816390356307384,0.0219046995845151,0.1504213306502326,0.1358457493426819,-0.1703703703703704,0.0027939888612706,0.0066941681713075,-0.0226415094339622,-0.1512915129151291,0.211111111111111,0.1875,0.1428571429,0.1403508772,0.9667680988,0.9488394064,0.0243735063966161,0.0249961338762494,0.0029041626331074,-0.1113972955569865,0.099159663865546,-0.1030684500393391,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2020-07-31,271857.8427900931,315000.0,318000.0,120.304253337,97.0,105.0,100.0,56.0,0.9757166993,0.1855670103,0.4201680672,3.016,-0.006,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0057290980616726,0.0546539413225704,0.033125614955723,0.2256809338521401,-0.074074074074074,0.075268817204301,0.0041224591912365,0.0639358379804656,-0.0074699063372202,0.1618268599333333,0.9735731785666668,0.3957135147666666,0.0044451854761591,0.0201790220676694,0.0123363621239561,0.0014057987017222,0.0441404533161756,-0.0003227262849226,0.0437568159127961,-0.0198062684611764,3.383546900196561,0.1254558353143241,26.97002408631876,0.0232178913815097,0.1672430830039524,0.0452961672473866,-0.1879154078549848,0.0029240203919778,0.0047300923851594,0.0115830115830115,0.1608695652173912,-0.055045871559633,0.0947368421052632,0.1547619048,0.1320754717,0.9731372656,0.9571242646,0.0233687581589192,0.0258277527746835,0.0148482892188508,0.0292322518470928,0.0627687016337059,-0.0039904229848364,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2020-08-31,274044.6084970419,316715.0,298950.0,122.960725076,110.0,106.0,92.0,39.0,0.9828458467,0.2636363636,0.4833333333,2.935,0.03,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0080437837823839,0.0594939776535434,0.0054444444444443,0.2618127490039841,-0.0799999999999999,0.0337078651685394,0.0057642597589356,0.0275827138639826,-0.0632627865961198,0.2010165092333333,0.9782555820333334,0.4234912925333333,0.0048289353793852,0.0225782510632019,0.0092539248479704,0.0022621481350292,0.019952856629317,0.0009353243795503,0.0050044628007807,-0.0725167114440903,3.4107634198792973,0.1254558353143241,27.186965128674792,0.0264939650211541,0.1502565739993915,-0.0408340573414423,-0.4218653489808524,0.0031183820792866,0.0036891553440479,0.1145038167938932,-0.0074906367041198,0.0873786407766989,-0.1346153846153845,0.1460674157,0.1076923077,0.9687986363,0.9679003651,0.0225082342330089,0.0255256165295181,0.1203836930455635,0.0248146954560102,0.1686956521739131,-0.1081750619322874,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2020-09-30,277333.2243860817,321000.0,304450.0,120.823389021,114.0,94.0,76.0,43.0,0.9831399695,0.2894736842,0.4956521739,2.89,-0.0849999999999999,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0120002940655381,0.0677706221120084,0.0135295139162969,0.1977611940298507,-0.1739130434782608,-0.1058823529411764,0.0085910586365315,0.0173665244388213,-0.1093290391841115,0.2462256860333333,0.9805675051666666,0.4663845248,0.0054826312241348,0.0180616202507817,-0.001493510423158,0.0031712154064666,0.0142338957257348,0.0031084274123967,-0.0006950958119604,-0.1078355287609535,3.4516935839058296,0.1254558353143241,27.51321670496842,0.0331357461696733,0.1474137764121872,-0.2014010507880911,-0.3401534526854221,0.0035198974327503,0.0027939888612706,0.0441780821917807,-0.0226415094339622,-0.0357142857142857,0.211111111111111,0.1538461538,0.1428571429,0.9762042001,0.9667680988,0.0219046995845151,0.0243735063966161,0.1504213306502326,0.0029041626331074,0.1358457493426819,0.099159663865546,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2020-10-31,281207.6169001073,322250.0,298950.0,123.333333333,114.0,82.0,62.0,43.0,0.9874942074,0.2807017544,0.52,2.834,-0.054,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0139701708030193,0.0761079661609367,0.0038940809968848,0.2712031558185404,-0.1842105263157895,-0.1506849315068493,0.0113380828836471,0.0076226797858753,-0.14604118993135,0.2779372674,0.9844933412,0.4996618357333333,0.0061372912300056,0.0228948334681838,-0.0050796817337875,0.0030181796693793,0.0051738693246076,0.0052007916536414,-0.0152721536823085,-0.1409615081975625,3.49991433283268,0.1254558353143241,27.89758104167732,0.0411406936548164,0.1287660196767823,-0.3421750663129973,-0.2936344969199178,0.0057290980616726,0.0029240203919778,0.033125614955723,0.0115830115830115,-0.074074074074074,-0.055045871559633,0.1855670103,0.1547619048,0.9757166993,0.9731372656,0.0232178913815097,0.0233687581589192,0.1672430830039524,0.0148482892188508,0.0452961672473866,0.0627687016337059,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2020-11-30,285552.6269604347,323462.5,309950.0,124.826155496,90.0,62.0,61.0,47.0,0.9887062879,0.2555555556,0.4588235294,2.765,-0.2375,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0154512530927315,0.0857489922836565,0.0037626066718385,0.1935885608856089,-0.0161290322580645,-0.2375,0.0138072393204296,0.0070620671950067,-0.1247508673507049,0.2752436647333333,0.9864468216,0.4914919011,0.0068886920392621,0.0174555898098377,-0.0144146353352015,0.0017312393112611,0.0056013589149492,0.0069185472811675,-0.010393522614831,-0.1103362320155033,3.5539923949921555,0.1254558353143241,28.32863362702725,0.0499222224713462,0.1159242480761229,-0.3417266187050359,-0.1724137931034483,0.0080437837823839,0.0031183820792866,0.0054444444444443,0.1145038167938932,-0.0799999999999999,0.0873786407766989,0.2636363636,0.1460674157,0.9828458467,0.9687986363,0.0264939650211541,0.0225082342330089,0.1502565739993915,0.1203836930455635,-0.0408340573414423,0.1686956521739131,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2020-12-31,289944.42127869395,320000.0,317450.0,125.303152789,83.0,60.0,56.0,47.0,0.9844551101,0.2409638554,0.5211267606,2.684,-0.104,80347.0,228600.0,840.0,0.9135091926458832,305.0,3497.0,38.9359450957964,7440.0,714454.0,6041.0,0.0153799821945526,0.0951168957851069,-0.0107044866097306,0.3913043478260869,-0.081967213114754,-0.4105263157894737,0.0149338020301011,-0.0010159329803357,-0.0941022572295359,0.2590737218,0.9868852018000002,0.4999834299999999,0.0076125098745325,0.0291711753352876,-0.0368702364280977,0.0008352896153953,0.0083907910799149,0.0073212921555685,-0.0301871083156234,-0.0572320208014382,3.6086527347467103,0.1254558353143241,28.76432750780694,0.057907019394308,0.0761344075060375,-0.3737185461323392,-0.108300395256917,0.0120002940655381,0.0035198974327503,0.0135295139162969,0.0441780821917807,-0.1739130434782608,-0.0357142857142857,0.2894736842,0.1538461538,0.9831399695,0.9762042001,0.0331357461696733,0.0219046995845151,0.1474137764121872,0.1504213306502326,-0.2014010507880911,0.1358457493426819,0.0374149659863944,0.1306175234400259,-0.0130694869243713,0.0194174757281553,1.0,1.0
27006,2021-01-31,294027.913266898,315000.0,335000.0,126.837234622,71.0,67.0,53.0,45.0,0.9885833094,0.3098591549,0.5789473684,2.735,-0.1325,84985.0,252100.0,782.0,0.911917098445596,317.0,3271.0,44.26505655762764,7420.0,886928.0,4814.0,0.0140837060088803,0.1053119724466067,-0.015625,0.1797752808988764,-0.0535714285714286,-0.4903846153846154,0.0149716470987214,-0.0075222933126307,-0.050555891314749,0.2687928553,0.9872482358,0.5196325528,0.0083919776765092,0.014463294900505,-0.0492292589844887,0.0007698047931151,0.0100779258158888,0.0065796694222121,-0.0219855882131357,-0.0013266323302603,3.45976246710476,0.1104194857916102,31.332897833215902,0.063745385819202,0.0452593134886152,-0.3776908023483366,-0.0992493744787322,0.0139701708030193,0.0057290980616726,0.0038940809968848,0.033125614955723,-0.1842105263157895,-0.074074074074074,0.2807017544,0.1855670103,0.9874942074,0.9757166993,0.0411406936548164,0.0232178913815097,0.1287660196767823,0.1672430830039524,-0.3421750663129973,0.0452961672473866,0.0393442622950819,-0.0646268229911353,0.0577246194630789,-0.069047619047619,1.0,1.0
27006,2021-02-28,297926.073647115,335000.0,339999.5,128.034585966,69.0,76.0,57.0,42.0,0.990438135,0.3768115942,0.6944444444,2.81,-0.0225,84985.0,252100.0,782.0,0.911917098445596,317.0,3271.0,44.26505655762764,7420.0,886928.0,4814.0,0.0132577901768069,0.1158494247886048,0.0634920634920634,0.2641509433962263,0.0754716981132075,-0.3666666666666667,0.0142404927934132,0.0123875256274442,-0.020022314524325,0.3092115348333333,0.9878255181666667,0.5981728578,0.0091893639125725,0.0203785199168536,-0.0317220020904393,0.0010697482469717,0.0443261571284176,0.0050511288808407,-0.0079909942894093,0.0116996875661143,3.505631271955227,0.1104194857916102,31.74830281832001,0.0678898627226092,0.0905162387226854,-0.308392315470172,-0.1406649616368286,0.0154512530927315,0.0080437837823839,0.0037626066718385,0.0054444444444443,-0.0161290322580645,-0.0799999999999999,0.2555555556,0.2636363636,0.9887062879,0.9828458467,0.0499222224713462,0.0264939650211541,0.1159242480761229,0.1502565739993915,-0.3417266187050359,-0.0408340573414423,0.0393442622950819,-0.0646268229911353,0.0577246194630789,-0.069047619047619,1.0,1.0
27006,2021-03-31,301414.641479408,334500.0,339999.0,128.446305329,70.0,83.0,59.0,30.0,1.00813026,0.5428571429,0.6666666667,3.0825,0.3,84985.0,252100.0,782.0,0.911917098445596,317.0,3271.0,44.26505655762764,7420.0,886928.0,4814.0,0.0117095083004556,0.1257700838156927,-0.0014925373134327,0.2915057915057915,0.0350877192982457,-0.4587155963302752,0.0130170014953809,0.0154581753928768,0.0189959962800082,0.4098426306666667,0.9957172348,0.6466861598333333,0.0099323238658379,0.022140934260231,-0.0463906180748448,0.0012052751061477,0.0421944597055191,0.0030846776295429,-0.0066827588673541,0.065386614354853,3.546680490432524,0.1104194857916102,32.12005983369651,0.0696355112193711,0.0670345729568939,-0.2460063897763578,-0.3678665496049166,0.0153799821945526,0.0120002940655381,-0.0107044866097306,0.0135295139162969,-0.081967213114754,-0.1739130434782608,0.2409638554,0.2894736842,0.9844551101,0.9831399695,0.057907019394308,0.0331357461696733,0.0761344075060375,0.1474137764121872,-0.3737185461323392,-0.2014010507880911,0.0393442622950819,-0.0646268229911353,0.0577246194630789,-0.069047619047619,1.0,1.0
