PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,REGION_TYPE,REGION_TYPE_ID,TABLE_ID,IS_SEASONALLY_ADJUSTED,REGION,CITY,STATE,STATE_CODE,PROPERTY_TYPE,PROPERTY_TYPE_ID,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MONTHS_OF_SUPPLY,MONTHS_OF_SUPPLY_MOM,MONTHS_OF_SUPPLY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,PRICE_DROPS,PRICE_DROPS_MOM,PRICE_DROPS_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,LAST_UPDATED,zip
2021-06-01,2021-08-31,90,zip code,2,12218,False,Zip Code: 29654,,South Carolina,SC,All Residential,-1,175000.0,0.06382978723,-0.01491697157,180000.0,0.1257035647,0.02857142857,126.9751693,0.2350168443,0.1639390519,110.266159696,0.01761588868,0.07563287347,13.0,-0.2352941176,-0.3157894737,20.0,0.05263157895,0.1764705882,25.0,0.3157894737,0.4705882353,14.0,0.1666666667,0.1666666667,,,,50.0,7.5,-24.0,0.9564205256,-0.01244195493,-0.03084029126,0.3846153846,-0.08597285068,0.06882591093,,,,0.7,0.2263157895,0.4647058824,"Greenville, SC",24860,2026-02-16 14:39:14.119000+00:00,29654
2019-02-01,2019-04-30,90,zip code,2,12317,False,Zip Code: 29841,,South Carolina,SC,Single Family Residential,6,149450.0,-0.06535334584,0.1074472027,163000.0,0.01875,0.09103078983,94.102247248,0.02108991024,0.07133957712,99.916701374,0.03059053673,0.08356086754,132.0,0.2571428571,0.375,153.0,0.275,0.275,145.0,0.03571428571,0.1885245902,138.0,-0.09803921569,0.01470588235,,,,63.0,-5.0,-21.5,0.9727097508,0.00734484436,0.005285395763,0.08333333333,0.01666666667,-0.09375,,,,0.01307189542,0.004738562092,0.004738562092,"Augusta, GA",12260,2026-02-16 14:39:14.119000+00:00,29841
2020-01-01,2020-03-31,90,zip code,2,11306,False,Zip Code: 28114,,North Carolina,NC,Single Family Residential,6,100000.0,-0.1645781119,0.07238605898,99500.0,-0.002006018054,-0.2963224894,60.384058445,-0.2714011346,-0.06590236422,61.174551387,0.06023973692,-0.405697895,6.0,0.0,-0.25,7.0,-0.2222222222,0.0,7.0,0.1666666667,-0.125,8.0,0.1428571429,-0.2,,,,45.5,0.0,-45.5,0.9621934639,-0.009084167594,0.06823657166,0.0,0.0,-0.125,,,,0.4285714286,-0.01587301587,0.2857142857,"Shelby, NC",43140,2026-02-16 14:39:14.119000+00:00,28114
2017-04-01,2017-06-30,90,zip code,2,11516,False,Zip Code: 28420,,North Carolina,NC,All Residential,-1,173500.0,0.5772727273,0.2618181818,230400.0,0.0,0.4633216894,78.863636364,0.1284669421,-0.1776473712,126.186537115,0.0,0.5360383323,3.0,-0.4,-0.25,2.0,-0.5,-0.5,4.0,0.0,-0.3333333333,5.0,-0.1666666667,-0.5454545455,,,,37.0,-43.0,-161.5,0.8365907658,-0.04193279937,-0.1662565184,0.0,-0.2,-0.5,,,,0.0,0.0,0.0,"Myrtle Beach, SC",34820,2026-02-16 14:39:14.119000+00:00,28420
2023-08-01,2023-10-31,90,zip code,2,11359,False,Zip Code: 28216,,North Carolina,NC,Townhouse,13,311865.0,-0.0004487107578,0.04302675585,322385.0,-0.01357016094,0.01560974073,216.074177747,0.0002591596748,0.05877232213,218.943317005,0.02007464577,0.1072589287,46.0,-0.1481481481,0.5333333333,,,,46.0,0.1219512195,0.3939393939,34.0,0.2592592593,0.2592592593,,,,50.5,0.0,17.5,0.9939860972,-0.004038758084,0.001806621811,0.08695652174,-0.06119162641,-0.1463768116,,,,0.3947368421,0.06140350877,0.09170653907,"Charlotte, NC",16740,2026-02-16 14:39:14.119000+00:00,28216
2018-07-01,2018-09-30,90,zip code,2,12122,False,Zip Code: 29541,,South Carolina,SC,Single Family Residential,6,179502.5,-0.04239797279,-0.005512541725,149450.0,-0.003002001334,-0.1203649205,101.420946821,-0.0196518346,0.009170389072,108.815045915,0.005310617742,0.09694029179,26.0,0.08333333333,0.8571428571,26.0,0.08333333333,0.8571428571,10.0,-0.4117647059,-0.3333333333,16.0,-0.2,-0.3043478261,,,,105.5,32.0,20.0,0.9821003627,-0.000318270729,-0.01084112982,0.0,0.0,-0.1428571429,,,,0.03846153846,-0.003205128205,0.03846153846,"Florence, SC",22500,2026-02-16 14:39:14.119000+00:00,29541
2015-08-01,2015-10-31,90,zip code,2,12059,False,Zip Code: 29436,,South Carolina,SC,Single Family Residential,6,150000.0,0.01694915254,0.25,54950.0,-0.215,-0.4956402019,84.615384615,0.01899557637,0.3136538462,43.876667909,-0.2820329686,-0.3856600799,3.0,-0.25,2.0,2.0,-0.3333333333,1.0,2.0,-0.5,-0.6666666667,9.0,-0.1,-0.3076923077,,,,127.0,23.0,15.0,0.9669209992,-0.008269750202,0.1029901137,0.3333333333,0.08333333333,0.3333333333,,,,0.0,0.0,0.0,"Charleston, SC",16700,2026-02-16 14:39:14.119000+00:00,29436
2019-01-01,2019-03-31,90,zip code,2,10757,False,Zip Code: 27022,,North Carolina,NC,Single Family Residential,6,102500.0,,,99995.0,,,113.888888889,,,111.105555556,,,1.0,,,2.0,,,1.0,,,2.0,,,,,,23.0,,,1.025051253,,,1.0,,,,,,0.5,,,"Winston-Salem, NC",49180,2026-02-16 14:39:14.119000+00:00,27022
2025-05-01,2025-07-31,90,zip code,2,11235,False,Zip Code: 28001,,North Carolina,NC,Townhouse,13,216000.0,,0.08,385000.0,,0.6746411483,145.258910558,,-0.3216408877,332.75713051,,1.152282962,1.0,,-0.6666666667,3.0,,0.5,1.0,,-0.8333333333,6.0,,0.5,,,,130.0,,83.0,0.9863013699,,0.01164033662,0.0,,-0.3333333333,,,,0.0,,-0.5,"Albemarle, NC",10620,2026-02-16 14:39:14.119000+00:00,28001
2016-12-01,2017-02-28,90,zip code,2,10785,False,Zip Code: 27103,,North Carolina,NC,All Residential,-1,135500.0,0.03791650709,-0.01454545455,146250.0,0.04538956397,-0.1497093023,82.037940379,-0.007000646664,0.006302344763,91.596550965,0.01817625321,0.02959796835,119.0,0.008474576271,-0.04032258065,158.0,0.1366906475,0.1879699248,132.0,0.1282051282,0.007633587786,144.0,0.006993006993,-0.3513513514,,,,73.0,18.0,6.0,0.9567095239,0.0007802944376,-0.01041673548,0.1764705882,0.006979062812,0.03130929791,,,,0.3670886076,0.1080958018,0.1715998858,"Winston-Salem, NC",49180,2026-02-16 14:39:14.119000+00:00,27103
2020-05-01,2020-07-31,90,zip code,2,12101,False,Zip Code: 29501,,South Carolina,SC,Multi-Family (2-4 Unit),4,120000.0,0.04347826087,0.2,165900.0,0.0,0.8240791644,65.502183406,-0.03036327309,0.2641921397,71.942446043,-0.006075428988,0.3492228814,5.0,0.25,0.0,5.0,0.25,0.0,7.0,0.0,0.75,7.0,0.0,1.333333333,,,,76.5,13.5,15.5,0.9565217391,0.0,0.09828207654,0.0,0.0,0.0,,,,0.4,-0.1,0.4,"Florence, SC",22500,2026-02-16 14:39:14.119000+00:00,29501
2015-01-01,2015-03-31,90,zip code,2,11607,False,Zip Code: 28553,,North Carolina,NC,All Residential,-1,65000.0,0.0,-0.1362126246,58250.0,0.0,-0.3147058824,34.427966102,0.0,-0.182665075,36.792524213,0.0,-0.3350637677,1.0,0.0,-0.5,1.0,0.0,-0.5,2.0,0.0,-0.3333333333,9.0,-0.1,0.5,,,,40.0,0.0,-636.0,0.9090909091,0.0,-0.02000861391,0.0,0.0,0.0,,,,0.0,0.0,0.0,"Morehead City, NC",33980,2026-02-16 14:39:14.119000+00:00,28553
2018-10-01,2018-12-31,90,zip code,2,12264,False,Zip Code: 29710,,South Carolina,SC,All Residential,-1,296450.0,0.09796296296,0.1207939509,310064.5,0.03389296432,0.05106966464,118.354494425,0.008870035238,0.04312435765,126.766768293,-0.000108214698,0.02727718921,144.0,-0.07096774194,-0.02702702703,,,,178.0,0.01714285714,0.0289017341,198.0,-0.02941176471,0.01020408163,,,,73.0,9.0,-7.0,0.9840100308,-0.0002507416096,0.0004628432938,0.1597222222,-0.001568100358,-0.02946696697,,,,0.262195122,-0.004471544715,-0.2044715447,"Charlotte, NC",16740,2026-02-16 14:39:14.119000+00:00,29710
2022-03-01,2022-05-31,90,zip code,2,12236,False,Zip Code: 29676,,South Carolina,SC,Condo/Co-op,3,340500.0,0.03495440729,0.362,375900.0,0.08956521739,0.4513513514,205.150029247,0.1733515958,0.09464959002,250.6,0.046792,0.3238626522,6.0,0.2,-0.5384615385,8.0,0.6,-0.4285714286,13.0,0.4444444444,0.08333333333,5.0,0.6666666667,1.5,,,,36.0,-4.5,-1.0,0.9940222898,0.001195542047,-0.02173653292,0.1666666667,-0.03333333333,-0.3717948718,,,,0.875,-0.125,0.01785714286,"Seneca, SC",42860,2026-02-16 14:39:14.119000+00:00,29676
